"CustomerKey","GeographyKey","CustomerAlternateKey","Title","FirstName","MiddleName","LastName","NameStyle","BirthDate","MaritalStatus","Suffix","Gender","EmailAddress","YearlyIncome","TotalChildren","NumberChildrenAtHome","EnglishEducation","SpanishEducation","FrenchEducation","EnglishOccupation","SpanishOccupation","FrenchOccupation","HouseOwnerFlag","NumberCarsOwned","AddressLine1","AddressLine2","Phone","DateFirstPurchase","CommuteDistance"
"11000","26","AW00011000","","Jon","V","Yang","False","1966-04-08","M","","M","jon24@adventure-works.com","90000","2","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","0","3761 N. 14th St","","1 (11) 500 555-0162","2005-07-22","1-2 Miles"
"11001","37","AW00011001","","Eugene","L","Huang","False","1965-05-14","S","","M","eugene10@adventure-works.com","60000","3","3","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","0","1","2243 W St.","","1 (11) 500 555-0110","2005-07-18","0-1 Miles"
"11002","31","AW00011002","","Ruben","","Torres","False","1965-08-12","M","","M","ruben35@adventure-works.com","60000","3","3","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","1","5844 Linden Land","","1 (11) 500 555-0184","2005-07-10","2-5 Miles"
"11003","11","AW00011003","","Christy","","Zhu","False","1968-02-15","S","","F","christy12@adventure-works.com","70000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","0","1","1825 Village Pl.","","1 (11) 500 555-0162","2005-07-01","5-10 Miles"
"11004","19","AW00011004","","Elizabeth","","Johnson","False","1968-08-08","S","","F","elizabeth5@adventure-works.com","80000","5","5","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","4","7553 Harness Circle","","1 (11) 500 555-0131","2005-07-26","1-2 Miles"
"11005","22","AW00011005","","Julio","","Ruiz","False","1965-08-05","S","","M","julio1@adventure-works.com","70000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","1","7305 Humphrey Drive","","1 (11) 500 555-0151","2005-07-02","5-10 Miles"
"11006","8","AW00011006","","Janet","G","Alvarez","False","1965-12-06","S","","F","janet9@adventure-works.com","70000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","1","2612 Berry Dr","","1 (11) 500 555-0184","2005-07-27","5-10 Miles"
"11007","40","AW00011007","","Marco","","Mehta","False","1964-05-09","M","","M","marco14@adventure-works.com","60000","3","3","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","2","942 Brook Street","","1 (11) 500 555-0126","2005-07-12","0-1 Miles"
"11008","32","AW00011008","","Rob","","Verhoff","False","1964-07-07","S","","F","rob4@adventure-works.com","60000","4","4","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","3","624 Peabody Road","","1 (11) 500 555-0164","2005-07-28","10+ Miles"
"11009","25","AW00011009","","Shannon","C","Carlson","False","1964-04-01","S","","M","shannon38@adventure-works.com","70000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","0","1","3839 Northgate Road","","1 (11) 500 555-0110","2005-07-30","5-10 Miles"
"11010","22","AW00011010","","Jacquelyn","C","Suarez","False","1964-02-06","S","","F","jacquelyn20@adventure-works.com","70000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","0","1","7800 Corrinne Court","","1 (11) 500 555-0169","2005-07-17","5-10 Miles"
"11011","22","AW00011011","","Curtis","","Lu","False","1963-11-04","M","","M","curtis9@adventure-works.com","60000","4","4","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","4","1224 Shoenic","","1 (11) 500 555-0117","2005-07-02","10+ Miles"
"11012","611","AW00011012","","Lauren","M","Walker","False","1968-01-18","M","","F","lauren41@adventure-works.com","100000","2","0","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","2","4785 Scott Street","","717-555-0164","2007-09-17","1-2 Miles"
"11013","543","AW00011013","","Ian","M","Jenkins","False","1968-08-06","M","","M","ian47@adventure-works.com","100000","2","0","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","3","7902 Hudson Ave.","","817-555-0185","2007-10-15","0-1 Miles"
"11014","634","AW00011014","","Sydney","","Bennett","False","1968-05-09","S","","F","sydney23@adventure-works.com","100000","3","0","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","0","3","9011 Tank Drive","","431-555-0156","2007-09-24","1-2 Miles"
"11015","301","AW00011015","","Chloe","","Young","False","1979-02-27","S","","F","chloe23@adventure-works.com","30000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","1","244 Willow Pass Road","","208-555-0142","2007-07-22","5-10 Miles"
"11016","329","AW00011016","","Wyatt","L","Hill","False","1979-04-28","M","","M","wyatt32@adventure-works.com","30000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","9666 Northridge Ct.","","135-555-0171","2007-08-13","5-10 Miles"
"11017","39","AW00011017","","Shannon","","Wang","False","1944-06-26","S","","F","shannon1@adventure-works.com","20000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","7330 Saddlehill Lane","","1 (11) 500 555-0195","2005-07-15","5-10 Miles"
"11018","32","AW00011018","","Clarence","D","Rai","False","1944-10-09","S","","M","clarence32@adventure-works.com","30000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","244 Rivewview","","1 (11) 500 555-0137","2005-07-20","5-10 Miles"
"11019","52","AW00011019","","Luke","L","Lal","False","1978-03-07","S","","M","luke18@adventure-works.com","40000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","7832 Landing Dr","","262-555-0112","2007-08-16","5-10 Miles"
"11020","53","AW00011020","","Jordan","C","King","False","1978-09-20","S","","M","jordan73@adventure-works.com","40000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","7156 Rose Dr.","","550-555-0163","2007-07-02","1-2 Miles"
"11021","536","AW00011021","","Destiny","","Wilson","False","1978-09-03","S","","F","destiny7@adventure-works.com","40000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","1","8148 W. Lake Dr.","","622-555-0158","2007-07-27","1-2 Miles"
"11022","609","AW00011022","","Ethan","G","Zhang","False","1978-10-12","M","","M","ethan20@adventure-works.com","40000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","1769 Nicholas Drive","","589-555-0185","2007-07-24","5-10 Miles"
"11023","298","AW00011023","","Seth","M","Edwards","False","1978-10-11","M","","M","seth46@adventure-works.com","40000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","4499 Valley Crest","","452-555-0188","2007-08-21","1-2 Miles"
"11024","311","AW00011024","","Russell","","Xie","False","1978-09-17","M","","M","russell7@adventure-works.com","60000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","8734 Oxford Place","","746-555-0186","2007-12-29","5-10 Miles"
"11025","24","AW00011025","","Alejandro","","Beck","False","1945-12-23","M","","M","alejandro45@adventure-works.com","10000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","2596 Franklin Canyon Road","","1 (11) 500 555-0178","2005-07-09","1-2 Miles"
"11026","4","AW00011026","","Harold","","Sai","False","1946-04-03","S","","M","harold3@adventure-works.com","30000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0","2","8211 Leeds Ct.","","1 (11) 500 555-0131","2005-07-26","1-2 Miles"
"11027","40","AW00011027","","Jessie","R","Zhao","False","1946-12-07","M","","M","jessie16@adventure-works.com","30000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","213 Valencia Place","","1 (11) 500 555-0184","2005-07-19","5-10 Miles"
"11028","17","AW00011028","","Jill","","Jimenez","False","1946-04-11","M","","F","jill13@adventure-works.com","30000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","9111 Rose Ann Ave","","1 (11) 500 555-0116","2005-07-29","1-2 Miles"
"11029","32","AW00011029","","Jimmy","L","Moreno","False","1946-12-21","M","","M","jimmy9@adventure-works.com","30000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","6385 Mark Twain","","1 (11) 500 555-0146","2005-07-22","1-2 Miles"
"11030","28","AW00011030","","Bethany","G","Yuan","False","1947-02-22","M","","F","bethany10@adventure-works.com","10000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","636 Vine Hill Way","","1 (11) 500 555-0182","2005-08-08","1-2 Miles"
"11031","8","AW00011031","","Theresa","G","Ramos","False","1947-08-22","M","","F","theresa13@adventure-works.com","20000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","6465 Detroit Ave.","","1 (11) 500 555-0195","2005-08-04","1-2 Miles"
"11032","35","AW00011032","","Denise","","Stone","False","1947-06-11","M","","F","denise10@adventure-works.com","20000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","626 Bentley Street","","1 (11) 500 555-0169","2005-08-21","1-2 Miles"
"11033","9","AW00011033","","Jaime","","Nath","False","1947-09-23","M","","M","jaime41@adventure-works.com","20000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","5927 Rainbow Dr","","1 (11) 500 555-0137","2005-08-18","5-10 Miles"
"11034","12","AW00011034","","Ebony","","Gonzalez","False","1947-06-19","M","","F","ebony19@adventure-works.com","20000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","5167 Condor Place","","1 (11) 500 555-0136","2005-08-04","5-10 Miles"
"11035","33","AW00011035","","Wendy","","Dominguez","False","1948-02-24","M","","F","wendy12@adventure-works.com","10000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","1873 Mt. Whitney Dr","","1 (11) 500 555-0177","2005-08-09","1-2 Miles"
"11036","343","AW00011036","","Jennifer","C","Russell","False","1978-12-18","M","","F","jennifer93@adventure-works.com","60000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","3981 Augustine Drive","","115-555-0183","2007-07-26","1-2 Miles"
"11037","49","AW00011037","","Chloe","M","Garcia","False","1977-11-27","S","","F","chloe27@adventure-works.com","40000","0","0","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","0","2","8915 Woodside Way","","229-555-0112","2007-07-24","5-10 Miles"
"11038","6","AW00011038","","Diana","F","Hernandez","False","1948-03-23","M","","F","diana2@adventure-works.com","10000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","8357 Sandy Cove Lane","","1 (11) 500 555-0114","2005-08-10","5-10 Miles"
"11039","19","AW00011039","","Marc","J","Martin","False","1948-12-17","M","","M","marc3@adventure-works.com","30000","3","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","9353 Creekside Dr.","","1 (11) 500 555-0183","2005-08-10","5-10 Miles"
"11040","642","AW00011040","","Jesse","","Murphy","False","1977-08-01","M","","M","jesse15@adventure-works.com","30000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","3350 Kingswood Circle","","961-555-0176","2007-10-05","1-2 Miles"
